OBJECTID,ISO,past.mean.perc,crop.mean.perc,land.conf,land.conf.norm
850,DZA,0.765007126,0,0,0
851,DZA,0.198000004,0.474000002,0.0939,0.3756
852,DZA,0.491587786,0.467191993,0.2297,0.9188
853,DZA,0.894559513,0.105440472,0.0943,0.3772
854,DZA,0.151666671,0,0,0
855,DZA,0.294500006,0.492249997,0.145,0.58
856,DZA,1,0,0,0
857,DZA,0.707000017,0.293000005,0.2072,0.8288
858,DZA,0.037911949,0.962088053,0.0365,0.146
859,DZA,0.616714284,0,0,0
860,DZA,0.388500005,0,0,0
861,DZA,0.092111112,0,0,0
862,DZA,0.587856061,0.412143933,0.2423,0.9692
863,DZA,0.043933333,0,0,0
864,DZA,0.165624999,0,0,0
865,DZA,0.158999999,0.841000006,0.1337,0.5348
866,DZA,0.381755857,0.618244128,0.236,0.944
867,DZA,0.276664621,0.7233354,0.2001,0.8004
868,DZA,0.106852338,0.777776376,0.0831,0.3324
869,DZA,0.676035939,0.211106598,0.1427,0.5708
870,DZA,0.641787202,0.316573073,0.2032,0.8128
871,DZA,0.436726424,0.439445593,0.1919,0.7676
872,DZA,0.196897721,0.803102259,0.1581,0.6324
873,DZA,0.238999996,0.589249998,0.1408,0.5632
874,DZA,0.144494947,0.855505045,0.1236,0.4944
875,DZA,0.045999999,0,0,0
876,DZA,0.305999994,0,0,0
877,DZA,0.473274509,0.526725503,0.2493,0.9972
878,DZA,0,0,0,0
879,DZA,0.494638228,0.505085051,0.2498,0.9992
880,DZA,0.190499999,0.391000003,0.0745,0.298
881,DZA,0.528000012,0.258500002,0.1365,0.546
882,DZA,0.203500003,0,0,0
883,DZA,0.324500002,0.38474999,0.1249,0.4996
884,DZA,0.320999995,0.419499993,0.1347,0.5388
885,DZA,0,1,0,0
886,DZA,0.068269712,0.005351769,0.0004,0.0016
887,DZA,0.777511828,0.046137834,0.0359,0.1436
888,DZA,0.003333924,0.164369856,0.0005,0.002
889,DZA,0.50850001,0.491500005,0.2499,0.9996
890,DZA,0.264085553,0.143265715,0.0378,0.1512
891,DZA,0.321333331,0.335333337,0.1078,0.4312
892,DZA,0.444173538,0.555826442,0.2469,0.9876
893,DZA,0.216499999,0.783499986,0.1696,0.6784
894,DZA,0.417333325,0.582666645,0.2432,0.9728
895,DZA,0.192268015,0.807731992,0.1553,0.6212
896,DZA,0.007150121,0.992849887,0.0071,0.0284
897,DZA,0.076730097,0.923269907,0.0708,0.2832
898,DZA,0.703000009,0.296999998,0.2088,0.8352
899,DZA,0,1,0,0
900,DZA,0.092500001,0.896500006,0.0829,0.3316
901,DZA,0,0.0515,0,0
902,DZA,0.095000003,0.022,0.0021,0.0084
903,DZA,0,0.831651122,0,0
904,DZA,0.0385,0.572999984,0.0221,0.0884
905,DZA,0.039,0.087000002,0.0034,0.0136
906,DZA,0.231000006,0.572333331,0.1322,0.5288
907,DZA,0.096975454,0.468449082,0.0454,0.1816
908,DZA,0,0.837500006,0,0
909,DZA,0.35533334,0,0,0
910,DZA,0,0,0,0
911,DZA,0,0,0,0
912,DZA,0.598078927,0.401921051,0.2404,0.9616
913,DZA,0.099800003,0,0,0
914,DZA,0.266333342,0.733666668,0.1954,0.7816
915,DZA,0.897599995,0,0,0
916,DZA,0.129666668,0,0,0
917,DZA,0.478500009,0.521500001,0.2495,0.998
918,DZA,0.200999995,0.333333333,0.067,0.268
919,DZA,0.76366667,0.23633333,0.1805,0.722
920,DZA,0.753499985,0.214499995,0.1616,0.6464
921,DZA,0.228,0.771999985,0.176,0.704
922,DZA,0.700666666,0.008333333,0.0058,0.0232
923,DZA,0.563000003,0.159000004,0.0895,0.358
924,DZA,0.167500004,0.832500011,0.1394,0.5576
925,DZA,0.179499999,0.730499998,0.1311,0.5244
926,DZA,0,0.5,0,0
927,DZA,0.129142856,0,0,0
928,DZA,0.065499999,0.934500009,0.0612,0.2448
929,DZA,0.119000003,0.25,0.0298,0.1192
930,DZA,0.634634362,0.365365614,0.2319,0.9276
931,DZA,0.694500003,0.242250002,0.1682,0.6728
932,DZA,0.203739132,0,0,0
933,DZA,0.137783334,0,0,0
934,DZA,0.953000009,0,0,0
935,DZA,0.281298804,0.099876849,0.0281,0.1124
936,DZA,0.318000004,0.34850001,0.1108,0.4432
937,DZA,0.016957731,0.964778843,0.0164,0.0656
938,DZA,0.257499993,0.559500001,0.1441,0.5764
939,DZA,0.885499984,0.105499998,0.0934,0.3736
940,DZA,0.544500008,0,0,0
941,DZA,0.696999997,0.302999996,0.2112,0.8448
942,DZA,0.49891427,0.499424872,0.2492,0.9968
943,DZA,0,0.431691267,0,0
944,DZA,0.010627446,0,0,0
945,DZA,0,0.001198538,0,0
946,DZA,0.028095741,0.860036804,0.0242,0.0968
947,DZA,0.029736345,0.865530264,0.0257,0.1028
948,DZA,0,0.923221942,0,0
949,DZA,0,0,0,0
950,DZA,0.630393186,0.141718226,0.0893,0.3572
951,DZA,0.489759387,0.207229701,0.1015,0.406
952,DZA,0.014422979,0.866973604,0.0125,0.05
953,DZA,0.024374576,0.041687508,0.001,0.004
954,DZA,3.43E-05,0.922934709,0,0
955,DZA,0.261333326,0.333333333,0.0871,0.3484
956,DZA,0.002646518,0.965658281,0.0026,0.0104
957,DZA,0.152733576,0.542176479,0.0828,0.3312
958,DZA,0.163909457,0.051491971,0.0084,0.0336
959,DZA,0.819499999,0.180500004,0.1479,0.5916
960,DZA,0.323825482,0.676174518,0.219,0.876
961,DZA,0.949000001,0,0,0
962,DZA,0.519666668,0,0,0
963,DZA,0.631999989,0.202,0.1277,0.5108
964,DZA,0.501666665,0,0,0
965,DZA,0.256000012,0.579499997,0.1484,0.5936
966,DZA,0.561669691,0.438330321,0.2462,0.9848
967,DZA,0.667999993,0.127666662,0.0853,0.3412
