et,c,lat,long,fat
Battle-No change of territory,Democratic Republic of the Congo,-1.67917,29.22278,4
Battle-No change of territory,Democratic Republic of the Congo,-0.732804,18.134074,0
Battle-No change of territory,Democratic Republic of the Congo,-3.16667,28.25,2
Battle-No change of territory,Democratic Republic of the Congo,-4.3,15.3,0
Battle-No change of territory,Democratic Republic of the Congo,-3.055278,28.181944,0
Battle-No change of territory,Democratic Republic of the Congo,0.481282,29.458516,8
Battle-No change of territory,Democratic Republic of the Congo,-1.0905,29.2925,2
Battle-No change of territory,Democratic Republic of the Congo,-8.633333,27.333333,0
Battle-No change of territory,Democratic Republic of the Congo,2.5,27,3
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,3.61667,28.56667,2
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,-1.206667,28.743611,6
Battle-No change of territory,Democratic Republic of the Congo,-4.3,15.3,0
Battle-No change of territory,Democratic Republic of the Congo,-6.15,23.6,4
Battle-No change of territory,Democratic Republic of the Congo,0.5,29.4667,0
Battle-No change of territory,Democratic Republic of the Congo,0.5,29.4667,6
Battle-No change of territory,Democratic Republic of the Congo,-0.702077,29.554253,6
Battle-No change of territory,Democratic Republic of the Congo,-1.016667,28.7,10
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,3.814607,23.686651,0
Battle-No change of territory,Democratic Republic of the Congo,-1.016667,28.7,5
Battle-No change of territory,Democratic Republic of the Congo,-1.316667,29.6,0
Battle-No change of territory,Democratic Republic of the Congo,0.15,29.2833,3
Battle-No change of territory,Democratic Republic of the Congo,-1.416667,28.074017,9
Battle-No change of territory,Democratic Republic of the Congo,-1.246163,27.589417,2
Battle-No change of territory,Democratic Republic of the Congo,-6.15,23.6,0
Battle-No change of territory,Democratic Republic of the Congo,-8.633333,27.333333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.416667,28.074017,9
Battle-No change of territory,Democratic Republic of the Congo,-1.416667,28.074017,2
Battle-No change of territory,Democratic Republic of the Congo,0.5,29.4667,2
Battle-No change of territory,Democratic Republic of the Congo,-1.651944,28.876944,1
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,1
Battle-No change of territory,Democratic Republic of the Congo,-1.11667,29.03333,6
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,5
Battle-No change of territory,Democratic Republic of the Congo,-1.5736,29.045,0
Battle-No change of territory,Democratic Republic of the Congo,1.35,29.05,10
Battle-No change of territory,Democratic Republic of the Congo,-2.5,28.8667,1
Battle-No change of territory,Democratic Republic of the Congo,-1.4267,28.86658,0
Battle-No change of territory,Democratic Republic of the Congo,-1.3166,29.6,0
Battle-No change of territory,Democratic Republic of the Congo,-1.15829,29.56902,0
Battle-No change of territory,Democratic Republic of the Congo,-0.647349,29.43891,3
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,26
Battle-No change of territory,Democratic Republic of the Congo,-1.15829,29.56902,0
Battle-No change of territory,Democratic Republic of the Congo,-1.335,29.54444,0
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-No change of territory,Democratic Republic of the Congo,-1.335,29.54444,0
Battle-No change of territory,Democratic Republic of the Congo,-1.3166,29.6,25
Battle-No change of territory,Democratic Republic of the Congo,-0.62,29.12,0
Battle-No change of territory,Democratic Republic of the Congo,-1.3166,29.6,0
Battle-No change of territory,Democratic Republic of the Congo,-5.0386,18.818,1
Battle-No change of territory,Democratic Republic of the Congo,-1.1842,29.4489,0
Battle-No change of territory,Democratic Republic of the Congo,-4.500921,29.163154,0
Battle-No change of territory,Democratic Republic of the Congo,-4.3011,28.9441,1
Battle-No change of territory,Democratic Republic of the Congo,-0.647349,29.43891,0
Battle-No change of territory,Democratic Republic of the Congo,4.195592,29.480934,0
Battle-No change of territory,Democratic Republic of the Congo,-1.3166,29.6,0
Battle-No change of territory,Democratic Republic of the Congo,0.15,29.2833,8
Battle-No change of territory,Democratic Republic of the Congo,0.14167,29.29111,6
Battle-No change of territory,Democratic Republic of the Congo,-4.9833,25.9833,0
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,3
Battle-No change of territory,Democratic Republic of the Congo,-4.2,22,2
Battle-No change of territory,Democratic Republic of the Congo,0.5,29.4667,6
Battle-No change of territory,Democratic Republic of the Congo,-3.4,29.133333,3
Battle-No change of territory,Democratic Republic of the Congo,-3.4,29.133333,3
Battle-No change of territory,Democratic Republic of the Congo,-3.4,29.133333,3
Battle-No change of territory,Democratic Republic of the Congo,-1.21667,28.41667,0
Battle-No change of territory,Democratic Republic of the Congo,-3.4,29.133333,3
Battle-No change of territory,Democratic Republic of the Congo,-6.283,18.817,2
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,4
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,2
Battle-No change of territory,Democratic Republic of the Congo,-0.166667,29.233333,9
Battle-No change of territory,Democratic Republic of the Congo,-0.166667,29.233333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-8.633333,27.333333,1
Battle-No change of territory,Democratic Republic of the Congo,-0.166667,29.233333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-No change of territory,Democratic Republic of the Congo,-0.647349,29.43891,0
Battle-No change of territory,Democratic Republic of the Congo,-0.647349,29.43891,0
Battle-No change of territory,Democratic Republic of the Congo,0.3833,29.3667,1
Battle-No change of territory,Democratic Republic of the Congo,1.4,30.4333,0
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-No change of territory,Democratic Republic of the Congo,-2.066667,28.566667,1
Battle-No change of territory,Democratic Republic of the Congo,1.35,29.05,2
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,-1.333333,29.45,0
Battle-No change of territory,Democratic Republic of the Congo,-0.647349,29.43891,0
Battle-No change of territory,Democratic Republic of the Congo,1.559406,30.252237,9
Battle-No change of territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-No change of territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-No change of territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-No change of territory,Democratic Republic of the Congo,-3.033333,27.183333,0
Battle-No change of territory,Democratic Republic of the Congo,-3.4,28.466667,0
Battle-No change of territory,Democratic Republic of the Congo,-3.16667,28.25,1
Battle-No change of territory,Democratic Republic of the Congo,-3.083333,27.2,0
Battle-No change of territory,Democratic Republic of the Congo,0.366667,25.383333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-No change of territory,Democratic Republic of the Congo,-3.24,29.215833,0
Battle-No change of territory,Democratic Republic of the Congo,0.328214,29.712935,1
Battle-No change of territory,Democratic Republic of the Congo,-2.581667,28.889167,1
Battle-No change of territory,Democratic Republic of the Congo,-7.7,30,0
Battle-No change of territory,Democratic Republic of the Congo,-7.7,30,0
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-No change of territory,Democratic Republic of the Congo,-3,28.466667,0
Battle-No change of territory,Democratic Republic of the Congo,-3,28.466667,0
Battle-No change of territory,Democratic Republic of the Congo,-3,28.466667,0
Battle-No change of territory,Democratic Republic of the Congo,-1.413056,29.373056,0
Battle-No change of territory,Democratic Republic of the Congo,-1.413056,29.373056,0
Battle-No change of territory,Democratic Republic of the Congo,-1.266667,29.383333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.266667,29.383333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.413056,29.373056,0
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-3.357222,29.15,0
Battle-No change of territory,Democratic Republic of the Congo,-3,28.466667,0
Battle-No change of territory,Democratic Republic of the Congo,-3,28.466667,25
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,-0.166667,29.233333,0
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-No change of territory,Democratic Republic of the Congo,-0.036111,29.713611,2
Battle-No change of territory,Democratic Republic of the Congo,-0.036111,29.713611,0
Battle-No change of territory,Democratic Republic of the Congo,-1.679722,28.699722,0
Battle-No change of territory,Democratic Republic of the Congo,-2.7,27.3333,0
Battle-No change of territory,Democratic Republic of the Congo,-2.7,27.3333,0
Battle-No change of territory,Democratic Republic of the Congo,-4.3011,28.9441,10
Battle-No change of territory,Democratic Republic of the Congo,-0.166667,29.233333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,11
Battle-No change of territory,Democratic Republic of the Congo,-3.16667,28.25,18
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,1
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,2
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,4
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,4
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,2
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,0
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-No change of territory,Democratic Republic of the Congo,-8.466667,28.9,1
Battle-No change of territory,Democratic Republic of the Congo,-3.4,29.133333,0
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,0
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,19
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,5
Battle-No change of territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,0
Battle-No change of territory,Democratic Republic of the Congo,1.919321,30.502572,1
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,3
Battle-No change of territory,Democratic Republic of the Congo,-2.666667,28.5,0
Battle-No change of territory,Democratic Republic of the Congo,-2.666667,28.5,0
Battle-No change of territory,Democratic Republic of the Congo,1.559406,30.252237,1
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,0
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,0
Battle-No change of territory,Democratic Republic of the Congo,-0.042014,29.615812,0
Battle-No change of territory,Democratic Republic of the Congo,-1.651944,28.876944,0
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-3.4,29.133333,0
Battle-No change of territory,Democratic Republic of the Congo,-8.466667,28.9,0
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,0
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,0
Battle-No change of territory,Democratic Republic of the Congo,-3.4,29.133333,0
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,7
