OBJECTID,ISO,u5pop.mean,imr.mean.10000,imr.perc.mean,uw.count.sum,uw.perc.mean
924,DZA,5851.333729,370,0.037,42.80636142,0.046
925,DZA,11891.79861,510,0.051,51.09506426,0.047
926,DZA,7702.749676,370,0.037,80.75874291,0.046
927,DZA,4982.422363,371,0.0371,551.8099976,0.055
928,DZA,5440.842592,510,0.051,35.53506914,0.047
929,DZA,2641.7771,510,0.051,44.03999566,0.047
930,DZA,5440.835938,510,0.051,20.71778377,0.047
931,DZA,6298.559743,510,0.051,74.88802305,0.047
932,DZA,290.3739624,380,0.038,308.957859,0.152
933,DZA,264.4607348,380,0.038,281.3861904,0.152
934,DZA,291.1631197,380,0.038,20.91505381,0.152
935,DZA,24900.26953,300,0.03,54.90715982,0.038
936,DZA,9988.547111,369.7959147,0.036979591,97.10719793,0.046
937,DZA,200484.347,300,0.03,471.3308924,0.038
938,DZA,3889.424702,510,0.051,35.36559323,0.047
939,DZA,8237.87793,510,0.051,100.1858571,0.047
940,DZA,6505.522137,510,0.051,65.04524462,0.047
941,DZA,7127.508982,510,0.051,58.91916968,0.047
942,DZA,5494.193848,510,0.051,26.35629714,0.047
943,DZA,14481.14808,300,0.03,58.45847453,0.038
944,DZA,12881.42102,300,0.03,35.36703286,0.038
945,DZA,7703.870117,370,0.037,25.23237014,0.046
946,DZA,8191.872528,300,0.03,25.40891012,0.038
947,DZA,14682.30957,300,0.03,54.15892587,0.038
948,DZA,14682.30957,300,0.03,21.90525458,0.038
949,DZA,9349.381368,370,0.037,22.82913785,0.046
950,DZA,9932.911214,370,0.037,32.64742301,0.046
951,DZA,24900.26953,300,0.03,32.8084887,0.038
952,DZA,18828.85938,300,0.03,12.52578791,0.038
953,DZA,24905.07031,300,0.03,71.70111062,0.038
954,DZA,21955.50977,300,0.03,53.51629798,0.038
955,DZA,13792.40211,312.853759,0.031285376,96.33038399,0.039770752
956,DZA,21955.50977,300,0.03,53.69694364,0.038
957,DZA,20348.78517,300,0.03,57.16783044,0.038
958,DZA,22755.07031,300,0.03,32.65860444,0.038
959,DZA,6755.550001,510,0.051,66.77478684,0.047
960,DZA,6075.781593,510,0.051,20.86292073,0.047
961,DZA,5601.901802,370.9638188,0.037096382,39.92916084,0.057565826
962,DZA,2473.355469,360,0.036,222.3581009,0.045
