OBJECTID,ISO,NAME,BATTLES,SUMfat,MEANfat
1249,DZA,Algeria,0,0,0
1250,DZA,Algeria,0,0,0
1251,DZA,Algeria,0,0,0
1252,DZA,Algeria,0,0,0
1253,DZA,Algeria,0,0,0
1254,DZA,Algeria,0,0,0
1255,DZA,Algeria,0,0,0
1256,DZA,Algeria,0,0,0
1257,DZA,Algeria,0,0,0
1258,DZA,Algeria,0,0,0
1259,DZA,Algeria,0,0,0
1260,DZA,Algeria,2,2,1
1261,DZA,Algeria,0,0,0
1262,DZA,Algeria,0,0,0
1263,DZA,Algeria,0,0,0
1264,DZA,Algeria,0,0,0
1265,DZA,Algeria,0,0,0
1266,DZA,Algeria,0,0,0
1267,DZA,Algeria,0,0,0
1268,DZA,Algeria,0,0,0
1269,DZA,Algeria,0,0,0
1270,DZA,Algeria,2,16,8
1271,DZA,Algeria,0,0,0
1272,DZA,Algeria,0,0,0
1273,DZA,Algeria,0,0,0
1274,DZA,Algeria,0,0,0
1275,DZA,Algeria,0,0,0
1276,DZA,Algeria,0,0,0
1277,DZA,Algeria,0,0,0
1278,DZA,Algeria,0,0,0
1279,DZA,Algeria,0,0,0
1280,DZA,Algeria,0,0,0
1281,DZA,Algeria,0,0,0
1282,DZA,Algeria,0,0,0
1283,DZA,Algeria,0,0,0
1284,DZA,Algeria,0,0,0
1285,DZA,Algeria,0,0,0
1286,DZA,Algeria,0,0,0
1287,DZA,Algeria,0,0,0
1288,DZA,Algeria,0,0,0
1289,DZA,Algeria,1,0,0
1290,DZA,Algeria,0,0,0
1291,DZA,Algeria,0,0,0
1292,DZA,Algeria,0,0,0
1293,DZA,Algeria,0,0,0
1294,DZA,Algeria,0,0,0
1295,DZA,Algeria,0,0,0
1296,DZA,Algeria,0,0,0
1297,DZA,Algeria,0,0,0
1298,DZA,Algeria,0,0,0
1299,DZA,Algeria,0,0,0
1300,DZA,Algeria,0,0,0
1301,DZA,Algeria,0,0,0
1302,DZA,Algeria,1,0,0
1303,DZA,Algeria,1,1,1
1304,DZA,Algeria,0,0,0
1305,DZA,Algeria,0,0,0
1306,DZA,Algeria,0,0,0
1307,DZA,Algeria,0,0,0
1308,DZA,Algeria,0,0,0
1309,DZA,Algeria,0,0,0
1310,DZA,Algeria,0,0,0
1311,DZA,Algeria,0,0,0
1312,DZA,Algeria,0,0,0
1313,DZA,Algeria,0,0,0
1314,DZA,Algeria,0,0,0
1315,DZA,Algeria,0,0,0
1316,DZA,Algeria,0,0,0
1317,DZA,Algeria,0,0,0
1318,DZA,Algeria,0,0,0
1319,DZA,Algeria,0,0,0
1320,DZA,Algeria,0,0,0
1321,DZA,Algeria,0,0,0
1322,DZA,Algeria,0,0,0
1323,DZA,Algeria,0,0,0
1324,DZA,Algeria,0,0,0
1325,DZA,Algeria,0,0,0
1326,DZA,Algeria,0,0,0
1327,DZA,Algeria,0,0,0
1328,DZA,Algeria,0,0,0
1329,DZA,Algeria,0,0,0
1330,DZA,Algeria,0,0,0
1331,DZA,Algeria,0,0,0
1332,DZA,Algeria,0,0,0
1333,DZA,Algeria,0,0,0
1334,DZA,Algeria,0,0,0
1335,DZA,Algeria,0,0,0
1336,DZA,Algeria,0,0,0
1337,DZA,Algeria,0,0,0
1338,DZA,Algeria,0,0,0
1339,DZA,Algeria,0,0,0
1340,DZA,Algeria,1,0,0
1341,DZA,Algeria,0,0,0
1342,DZA,Algeria,0,0,0
1343,DZA,Algeria,0,0,0
